"...1","Name","startdato","slutdato","party","partyShortname","sex","born","bloc"
125,"Edmund Joensen","1996-10-01T00:00:00Z",NA,NA,"g_f","m","16334",NA
126,"Kirsten Brosbøl","2016-10-04T00:00:00Z",NA,NA,"S","f","28473","left"
127,"Pia Kjærsgaard",NA,NA,NA,"DF","f","17221","right"
128,"Bjarne Laustsen",NA,NA,NA,"S","m","19702","left"
129,"Poul Andersen","2002-10-01T00:00:00Z",NA,NA,"S","m","19329","left"
130,"Leif Lahn Jensen",NA,NA,NA,"S","m","24652","left"
131,"Esben Lunde Larsen","2016-10-04T00:00:00Z",NA,NA,"V","m","28808","right"
132,"Sjúrður Skaale",NA,NA,NA,"g_f","m","24539",NA
133,"Mette Hjermind Dencker","2021-10-06T00:00:00Z",NA,NA,"DF","f","28634","right"
134,"Rasmus Prehn",NA,NA,NA,"S","m","26833","left"
135,"Eva Kjer Hansen","1996-10-01T00:00:00Z",NA,"Venstre","V","f","23611","right"
136,"Rasmus Horn Langhoff",NA,NA,NA,"S","m","29502","left"
137,"Helle Løvgreen Mølvig","2015-04-09T00:00:00Z",NA,NA,"RV","f","23344","left"
138,"Claus Hjort Frederiksen","2019-10-01T00:00:00Z",NA,NA,"V","m","17414","right"
139,"Kristian Jensen",NA,NA,NA,"V","m","26074","right"
140,"Ole Hækkerup",NA,NA,NA,"S","m","25960","left"
141,"Per Husted",NA,NA,NA,"S","m","24203","left"
142,"Karin Gaardsted",NA,NA,NA,"S","f","20381","left"
143,"Tina Nedergaard","2007-11-27T00:00:00Z",NA,NA,"V","f","25290","right"
144,"Karen J. Klint","2016-10-04T00:00:00Z",NA,NA,"S","f","17446","left"
145,"Finn Thranum","2015-03-26T00:00:00Z",NA,NA,"V","m","20534","right"
146,"Ane Halsboe-Jørgensen",NA,NA,NA,"S","f","30440","left"
147,"Torben Hansen","2011-10-07T00:00:00Z",NA,NA,"S","m","23996","left"
148,"Doris Jakobsen",NA,NA,"Siumut","g_f","f","28793",NA
149,"Ulla Tørnæs","1996-10-01T00:00:00Z",NA,"Venstre","V","f","22893","right"
150,"Maja Panduro",NA,NA,NA,"S","f","30090","left"
151,"Benedikte Kiær","2011-10-07T00:00:00Z",NA,NA,"KF","f","10-12-1069","right"
152,"Anita Christensen",NA,NA,NA,"DF","f","26754","right"
153,"Jacob Lund",NA,NA,NA,"S","m","23816","left"
154,"Jens Ejner Christensen","2014-10-08T00:00:00Z",NA,NA,"V","m","25008","right"
155,"Villy Søvndal",NA,NA,NA,"SF","m","19088","left"
156,"Gitte Lillelund Bech","2007-11-27T00:00:00Z",NA,NA,"V","f","25224","right"
157,"Sophie Hæstorp Andersen","2011-10-07T00:00:00Z",NA,NA,"S","f","27298","left"
158,"Henrik Dam Kristensen","2000-02-23T00:00:00Z","2001-11-27T00:00:00Z",NA,"S","m","20851","left"
159,"Lykke Friis","2011-10-07T00:00:00Z",NA,NA,"V","f","25503","right"
160,"Vivi Kier","2007-11-27T00:00:00Z",NA,NA,"KF","m","21358","right"
161,"Jacob Bjerregaard",NA,NA,NA,"S","m","28290","left"
162,"Birthe Rønn Hornbech","1996-10-01T00:00:00Z",NA,"Venstre","V","f","15997","right"
